rachel_good,rachel_bad,ross_good,ross_bad
what did you just say?,and a crappy new year.,"hello! oh, sorry.",i thought it was gonna be a closed casket.
"no, no, no.... the, um, the... 'love' part?","oh, he is precious! where did you get him?","we got a head, we got shoulders, we got arms, we got, oh, look at the little fingers, oh, and a chest, and a stomach. it's a boy, definitely a boy! all right! ok, legs, knees, and feet. oh, oh. he's here. he's a person.",i don't see why not.
oh.... my god.,"hey, do you guys know what you're doing for new year's? gee, what?! what is wrong with new year's?","kinda like my uncle ed, covered in jell-o",here's my retainer!
"i mean, this is unbelievable.","well, for your information, paolo is gonna be in rome this new year, so i'll be just as pathetic as the rest of you.","oh, thanks, pheebs!",this one?
"no! none! i mean, my first night in the city, he mentioned something about asking me out, but nothing ever happened, so i just... w-well, what else did he say? i mean, does he, like, want to go out with me?","phoebe, you're on.",how 'bout ben?,"i have shown you everything we have. unless you want your mother to spend eternity in a lemon yellow pant-suit, go with the burgundy."
"ross? all this time? well, i've got to talk to him.","okay, hi. ladies and gentlemen, back by popular demand, miss phoebe buffay. wooh!","we uh, we just cooked it up.",oh! a fine choice. i'm coming out.
i-i-i don't know.,"pheebs, i can't believe he hasn't kissed you yet. i mean god, by my sixth date with paolo, i mean he had already named both my breasts! ...ooh. did i just share too much?",hey.,"okay. um, how about these?"
i don't know. maybe i'll know when i see him.,yeah!,"i know, i know. everybody, there's someone i'd like you to meet. yeah. this is ben. ben, this is everybody.",and where she's going everyone else'll be dressier?
"noooo... look, all i know is that i cannot wait a week until i see him. i mean, this is just too big. y'know, i just, i've just gotta talk to him. i... i gotta... ok, i'll see you later.","okay, here we go...","the head, the head. you gotta...","okay, i have nothing in an evening shoe in the burgundy. i can show you something in a silver that may work."
"ross! excuse me, pardon me, excuse me....",there. now there is.,"ben, i want you to know that there may be some times when i may not be around, like this. but i'll still always come back, like this. and sometimes i may be away longer, like this. but i'll still always come back, like this.","no! nonono, wait a sec. i may have something in the back. , pulls it down and opens it. it is full of sweet 'n' lo 's.]"
hi.,five.,"no, this is pretty much it.",oh my god..
"oh, no, no, i don't have one. i just need to talk to my friend.",sorry. paolo's catching an earlier flight.,"all right, i'll see you guys later.","yeah, just... just nana stuff. "
"no, i know, but i—he just went on. he's right there, he's got the blue jacket on, i... can i j-just...","oh, c'mon. we'll have, we'll have a big party, and no-one'll know who's with who.",and here's little ben nodding off...,"how we doing, you guys ready?"
"ok, alright, ok, um... then could you please, uh... just give him a message for me? please? this is very important.",rome. jerk missed his flight.,that would be nice.,some days it's all i can think about.
uh... i don't know.,"no. okay. i was at the airport, getting into a cab, when this woman- this blonde planet with a pocketbook- starts yelling at me. something about how it was her cab first. and then the next thing i know she just starts- starts pulling me out by my hair! so i'm blowing my attack whistle thingy and three more cabs show up, and as i'm going to get into a cab she tackles me. and i hit my head on the kerb and cut my lip on my whistle...oh...everybody having fun at the party? are people eating my dip?",what kind of research?,"what, we-uh- we don't have shoes here, or...?"
"i don't know. i don't know... i thought about it all the way there, and i thought about it all the way back... and, uh, oh, you guys, y'know, it's ross . y'know what i mean? i mean, it's ross","vrrbddy, the bll is drrbing.","science. yeah, i think i've heard of that.","oh, i hope they're not ruined."
"i don't know, i mean, this is just my initial gut feeling... but i'm thinking... oh, i'm thinking it'd be really great.",the bll is drrbing!,hey.,"i know, uh, the air, the-the trees... even though nana's gone there's, there's something almost, uh- i dunno, almost life-aff-"
huh?,i can't kiss anyone.,hey.,i'm fine. just-just... having my worst fear realised...
i don't know... sometimes it doesn't.,...i think that bitch cracked my tooth.,i'm going to china.,"what, what is it?"
no!,"oh, she's coming up! she's coming up!","yeah, i-it's for the museum. someone found a bone, we want the bone, but they don't want us to have the bone, so i'm going over there to try to persuade them to give us the bo—it's—it's a whole big bone thing. anyway, i'm gonna be gone for like, uh... like a week, so, uh, if you wanna reach me, y-you can't. so here's my itinerary . um... here's a picture of me...",oh! no-n-
"no, i'm just....","no way, forget it.","could you take it to carol's every now and then, and show it to ben, just so he doesn't forget me?","i feel great. i feel- great, i fleel great."
wha...,"chandler, i gotta tell you, i love your mom's books! i love her books! i cannot get on a plane without one! i mean, this is so cool!","hey, is rachel here? um, i wanted to wish her a happy birthday before i left.","not the first two, but the second two- woooo! ...i love you guys. you guys are the greatest. i love my sister , i love pheebs..."
no! there is.. there is noone else!,"oh, hi sweetie.","oh. hey, who's carl?",...chandler!
yeah.,"hi! sorry- sorry we're late, we, uh, kinda just, y'know, lost track of time.",no.,"and listen, man, if you wanna be gay, be gay. doesn't matter to me."
from you. i exchanged the blouse you got me.,"mrs. bing, i have to tell you, i've read everything you've ever written. no, i mean it! i mean, when i read euphoria at midnight, all i wanted to do was become a writer.","at the coffeehouse, right.",rachel. rachel rachel. i love you the most.
"uh, yeah. uh, monica, y'know, honey, i've been thinking about it and i've decided this—this whole ross thing, it's just not a good idea.",hey.,"ok, i'm gonna go say goodbye to the guys.",no.
"because, i feel like i wouldn't just be going out with him. i would be going out with all of you. oh, and there would just be all this pressure, and i don't wanna...",what're you guys doing out here?,hi.,oh.. you don't get it!
"monica, nothing has even happened yet, and you're already so...","well,sounds like you two have issues.",....i have to go to china.,that little naked guy would be me.
who is it?,"goodbye, baby.","no no, this big pile of dishes in my mom's breakfront. do you guys know who carl is?","yes, yes, fine, that is my penis. can we be grown-ups now?"
c'mon up.,hey.,"well, rachel's having drinks with him tonight.",got me.
"would you excuse me, please? i'm trying to have a date here.","yeah. thought i'd give it a shot. i'm still on the first chapter. now, do you think his 'love stick can be liberated from its denim prison'?","yeah... i guess. i don't—i don't know. alright, just... just give her this for me, ok?",looks like a fun gang.
so i'm thinking about you. so what?,hey.,i know.,"nono, that would be me again. i'm, uh, just trying something."
well... he happens to be a very nice... guy....,okay. i am so hot!,nan,"no, they're not."
"ross, it's too hard.",central perk is proud to present miss phoebe buffay.,ni-chou chi-ma!,you're wrong.
"ross, you're like my best friend.","okay, that was phoebe buffay, everybody. woo!",i can't believe you'd rather go out with him than me.,you're wrong.
"if we broke up, and i lost you...","okay. now this is just the first chapter, and i want your absolute honest opinion. oh, oh, and on page two, he's not 'reaching for her heaving beasts'.","fine, just stop thinking about me.",i'm calling mom.
"well, have you been involved with someone where you haven't broken up?","alright, alright, so i'm not a great typist...","can't do it, can you?","well, you were right. how can they do this to us, huh? it's thanksgiving."
"i don't know... i mean, i've never looked at you that way before.","alright, that's it! give it back! that's it!","i don't get it. what do you see in this guy, anyway?",will you make the mashed potatoes with the lumps?
wow.,"honey, you can say it, poconos, poconos, it's like poc-o-nos","rachel, come on. give us a chance.","well, i'm off to carol's."
right! you're right!,"yes, my sister's giving us her place for the weekend.","no, no, no... why, because it might get weird for everyone else? who cares about them. this is about us. look, i-i've been in love with you since, like, the ninth grade.","ooh, ooh. because she's my ex-wife, and will probably want to bring her, ooh, ooh, lesbian life partner."
